Date,Flight,Scheduled Time,E/A Time,Delay,Scheduled Ha Block,Ha Block,From,To,Gate Nr.,Local Total
2026-04-01,SN2648,2026-04-01 18:15:00,2026-04-01 18:19:00,4.0,2026-04-01 18:25:00,2026-04-01 18:29:00,2026-04-01 18:42:00,2026-04-01 18:44:00,A42 ,30.0
2026-04-01,SN2652,2026-04-02 00:10:00,2026-04-01 23:51:00,-19.0,2026-04-02 00:13:00,2026-04-01 23:54:00,2026-04-02 00:12:00,2026-04-02 00:14:00,A60 ,47.0
2026-04-01,SN2714,2026-04-01 13:45:00,2026-04-01 14:03:00,18.0,2026-04-01 13:48:00,2026-04-01 14:06:00,2026-04-01 14:33:00,2026-04-01 14:35:00,A46 ,33.0
2026-04-01,SN2722,2026-04-01 19:30:00,2026-04-01 19:20:00,-10.0,2026-04-01 19:33:00,2026-04-01 19:23:00,2026-04-01 19:39:00,2026-04-01 19:40:00,A50 ,31.0
2026-04-01,SN2724,2026-04-01 23:30:00,2026-04-02 00:00:00,30.0,2026-04-01 23:35:00,2026-04-02 00:05:00,2026-04-02 00:29:00,2026-04-02 00:31:00,A47 ,41.0
2026-04-01,SN2726,2026-04-01 09:20:00,2026-04-01 09:46:00,26.0,2026-04-01 09:25:00,2026-04-01 09:51:00,2026-04-01 10:22:00,2026-04-01 10:24:00,A43 ,21.0
2026-04-01,SN2730,2026-04-01 11:15:00,2026-04-01 11:17:00,2.0,2026-04-01 11:23:00,2026-04-01 11:25:00,2026-04-01 12:06:00,2026-04-01 12:11:00,A46 ,47.0
2026-04-01,SN2810,2026-04-01 14:20:00,2026-04-01 14:05:00,-15.0,2026-04-01 14:23:00,2026-04-01 14:08:00,2026-04-01 14:26:00,2026-04-01 14:29:00,A56 ,35.0
2026-04-01,SN2812,2026-04-01 21:15:00,2026-04-01 20:56:00,-19.0,2026-04-01 21:23:00,2026-04-01 21:04:00,2026-04-01 21:22:00,2026-04-01 21:25:00,A40 ,30.0
2026-04-01,SN2816,2026-04-01 09:20:00,2026-04-01 08:58:00,-22.0,2026-04-01 09:24:00,2026-04-01 09:02:00,2026-04-01 09:20:00,2026-04-01 09:24:00,A58 ,2.0
2026-04-01,SN2826,2026-04-01 21:05:00,2026-04-01 20:39:00,-26.0,2026-04-01 21:14:00,2026-04-01 20:48:00,2026-04-01 21:02:00,2026-04-01 21:03:00,A54 ,17.0
2026-04-01,SN2830,2026-04-01 09:35:00,2026-04-01 09:10:00,-25.0,2026-04-01 09:38:00,2026-04-01 09:13:00,2026-04-01 10:25:00,2026-04-01 10:28:00,A48 ,9.0
2026-04-01,SN2902,2026-04-01 12:05:00,2026-04-01 11:52:00,-13.0,2026-04-01 12:17:00,2026-04-01 12:04:00,2026-04-01 12:18:00,2026-04-01 12:20:00,A50 ,23.0
2026-04-01,SN2906,2026-04-01 20:55:00,2026-04-01 20:50:00,-5.0,2026-04-01 21:00:00,2026-04-01 20:55:00,2026-04-01 21:16:00,2026-04-01 21:20:00,A53 ,66.0
2026-04-01,SN2908,2026-04-01 23:50:00,2026-04-01 23:48:00,-2.0,2026-04-01 23:55:00,2026-04-01 23:53:00,2026-04-02 00:05:00,2026-04-02 00:06:00,A55 ,12.0
2026-04-01,SN3126,2026-04-01 19:55:00,2026-04-01 20:00:00,5.0,2026-04-01 20:08:00,2026-04-01 20:13:00,2026-04-01 20:27:00,2026-04-01 20:28:00,A52 ,55.0
2026-04-01,SN3146,2026-04-01 12:00:00,2026-04-01 11:35:00,-25.0,2026-04-01 12:06:00,2026-04-01 11:41:00,2026-04-01 11:48:00,2026-04-01 11:50:00,A53 ,4.0
2026-04-01,SN3150,2026-04-01 21:20:00,2026-04-01 21:25:00,5.0,2026-04-01 21:23:00,2026-04-01 21:28:00,2026-04-01 21:41:00,2026-04-01 21:43:00,A44 ,11.0
2026-04-01,SN3154,2026-04-01 11:10:00,2026-04-01 11:10:00,0.0,2026-04-01 11:16:00,2026-04-01 11:16:00,2026-04-01 11:28:00,2026-04-01 11:42:00,A42 ,10.0
2026-04-01,SN3160,2026-04-02 00:15:00,2026-04-02 00:09:00,-6.0,2026-04-02 00:21:00,2026-04-02 00:15:00,2026-04-02 00:27:00,2026-04-02 00:28:00,A49 ,19.0
2026-04-01,SN3170,2026-04-01 16:20:00,2026-04-01 16:32:00,12.0,2026-04-01 16:23:00,2026-04-01 16:35:00,2026-04-01 16:53:00,2026-04-01 16:55:00,A42 ,12.0
2026-04-01,SN3176,2026-04-01 13:25:00,2026-04-01 13:36:00,11.0,2026-04-01 13:33:00,2026-04-01 13:44:00,2026-04-01 14:01:00,2026-04-01 14:03:00,A48 ,35.0
2026-04-01,SN3182,2026-04-01 21:20:00,2026-04-01 22:23:00,63.0,2026-04-01 21:25:00,2026-04-01 22:28:00,2026-04-01 22:47:00,2026-04-01 22:53:00,A47 ,35.0
2026-04-01,SN3184,2026-04-02 00:15:00,2026-04-02 02:47:00,152.0,2026-04-02 00:20:00,2026-04-02 02:52:00,2026-04-02 03:10:00,2026-04-02 03:13:00,A48 ,51.0
2026-04-01,SN319,2026-04-01 06:00:00,2026-04-01 06:31:00,31.0,2026-04-01 06:06:00,2026-04-01 06:37:00,2026-04-01 06:51:00,2026-04-01 07:11:00,B28 A,83.0
2026-04-01,SN3246,2026-04-01 18:50:00,2026-04-01 18:45:00,-5.0,2026-04-01 18:54:00,2026-04-01 18:49:00,2026-04-01 19:04:00,2026-04-01 19:06:00,A58 ,27.0
2026-04-01,SN3344,2026-04-01 21:15:00,2026-04-01 21:04:00,-11.0,2026-04-01 21:24:00,2026-04-01 21:13:00,2026-04-01 21:26:00,2026-04-01 21:27:00,A42 ,10.0
2026-04-01,SN3594,2026-04-01 09:30:00,2026-04-01 09:20:00,-10.0,2026-04-01 09:33:00,2026-04-01 09:23:00,2026-04-01 09:41:00,2026-04-01 09:48:00,A42 ,2.0
2026-04-01,SN3598,2026-04-01 16:15:00,2026-04-01 16:16:00,1.0,2026-04-01 16:18:00,2026-04-01 16:19:00,2026-04-01 16:32:00,2026-04-01 16:46:00,A40 ,37.0
2026-04-01,SN3604,2026-04-01 09:25:00,2026-04-01 09:07:00,-18.0,2026-04-01 09:32:00,2026-04-01 09:14:00,2026-04-01 09:32:00,2026-04-01 09:34:00,A50 ,6.0
2026-04-01,SN3618,2026-04-01 16:30:00,2026-04-01 16:23:00,-7.0,2026-04-01 16:35:00,2026-04-01 16:28:00,2026-04-01 16:39:00,2026-04-01 16:40:00,A44 ,23.0
2026-04-01,SN3622,2026-04-01 19:10:00,2026-04-01 19:11:00,1.0,2026-04-01 19:18:00,2026-04-01 19:19:00,2026-04-01 19:32:00,2026-04-01 19:33:00,A40 ,26.0
2026-04-01,SN3632,2026-04-01 10:30:00,2026-04-01 10:11:00,-19.0,2026-04-01 10:45:00,2026-04-01 10:26:00,2026-04-01 10:44:00,2026-04-01 10:52:00,A58 ,4.0
2026-04-01,SN3634,2026-04-01 11:55:00,2026-04-01 12:02:00,7.0,2026-04-01 12:04:00,2026-04-01 12:11:00,2026-04-01 12:40:00,2026-04-01 12:41:00,A60 ,10.0
2026-04-01,SN3668,2026-04-01 14:50:00,2026-04-01 14:53:00,3.0,2026-04-01 14:53:00,2026-04-01 14:56:00,2026-04-01 15:21:00,2026-04-01 15:22:00,A62 ,15.0
2026-04-01,SN3676,2026-04-01 09:35:00,2026-04-01 09:38:00,3.0,2026-04-01 09:41:00,2026-04-01 09:44:00,2026-04-01 10:02:00,2026-04-01 10:05:00,A45 ,9.0
2026-04-01,SN3698,2026-04-01 15:30:00,2026-04-01 16:12:00,42.0,2026-04-01 15:33:00,2026-04-01 16:15:00,2026-04-01 16:34:00,2026-04-01 16:37:00,A50 ,26.0
